step,layer,head,edge,light,heavy_slice,abs_diff,rel_diff
0,4,8,P->R1,0.025605354458093643,0.025605354458093643,0.0,0.0
0,4,8,P->S,0.03837672621011734,0.03837672621011734,0.0,0.0
0,4,8,P->X,0.03771758824586868,0.03771758824586868,0.0,0.0
0,4,8,R1->P,0.014109137303688946,0.014111310243606567,2.172939917621103e-06,0.00015400941041611172
0,4,8,R1->R1,0.8893153246711282,0.8898796193739947,0.0005642947028665635,0.0006345271325165138
0,4,8,R1->S,0.12774067766526165,0.12784394095925725,0.00010326329399559797,0.0008083822309616558
0,4,8,R1->X,0.02324190560509177,0.023103144238976872,0.00013876136611489648,0.005970309340061043
0,4,8,S->P,0.024598947342704323,0.024598947342704323,0.0,0.0
0,4,8,S->R1,0.05282869058496812,0.05282869058496812,0.0,0.0
0,4,8,S->S,0.8903804105870864,0.8903804105870864,0.0,0.0
0,4,8,S->X,0.08999634490293615,0.08999634490293615,0.0,0.0
0,4,8,X->P,0.05176779627799988,0.05176779627799988,0.0,0.0
0,4,8,X->R1,0.041617535054683685,0.041617535054683685,0.0,0.0
0,4,8,X->S,0.07597809284925461,0.07597809284925461,0.0,0.0
0,4,8,X->X,0.8472095727920532,0.8472095727920532,0.0,0.0
0,4,12,P->P,0.8861691951751709,0.8861691951751709,0.0,0.0
0,4,12,P->R1,0.035500623285770416,0.035500623285770416,0.0,0.0
0,4,12,P->S,0.017546135932207108,0.017546135932207108,0.0,0.0
0,4,12,P->X,0.06528601795434952,0.06528601795434952,0.0,0.0
0,4,12,R1->P,0.0005556328003020847,0.0005564021823160789,7.693820139941876e-07,0.0013846950964303986
0,4,12,R1->R1,0.9283768709968118,0.9282654593972599,0.00011141159955185831,0.00012000686685810478
0,4,12,R1->S,0.10384826099171358,0.10347263953265022,0.0003756214590633633,0.003617022138611791
0,4,12,R1->X,0.03284895420074463,0.033283023273243624,0.0004340690724989951,0.0132140910741431
0,4,12,S->P,0.004152012660222895,0.004152012660222895,0.0,0.0
0,4,12,S->R1,0.08116843419916489,0.08116843419916489,0.0,0.0
